name,rating,category,address,phone,email,website,timestamp
TOUR INN,4.7,Modest hotel offering Wi-Fi & parking,N/A,N/A,N/A,N/A,2026-03-18 02:16:34
Hathaa Beach Maldives,4.0,Laid-back guesthouse with free Wi-Fi,N/A,N/A,N/A,N/A,2026-03-18 02:16:34
faTuur Inn - homestay,3.5,N/A,N/A,N/A,N/A,N/A,2026-03-18 02:16:34
Reef House Maldives,4.5,Guest house,N/A,N/A,N/A,N/A,2026-03-18 02:16:34
Unima Grand,4.0,Informal hotel with ocean views,N/A,N/A,N/A,N/A,2026-03-18 02:16:34
Three Inn,3.4,Guest house,N/A,N/A,N/A,N/A,2026-03-18 02:16:34
Shop 'n' Save,4.2,Supermarket,"Supermarket ·  · 5GF7+7PQ, Sosun Magu",333-6020,N/A,N/A,2026-03-18 02:15:30
STO People's Choice,4.3,Supermarket,Supermarket ·  · 6 Orchid Magu,334-4333,N/A,N/A,2026-03-18 02:15:30
FENI MART 2,5.0,Grocery store,"Grocery store · Hm Lot No. 10817, Unigas Magu Hulhumale Maldives Hulhumale Maldives",757-0717,N/A,N/A,2026-03-18 02:15:30
Feni Mart,3.4,Grocery store,"Grocery store · HM Lot No:, 10838 Nirolhu Magu",769-0602,N/A,N/A,2026-03-18 02:15:30
Maicon Plaza ( Hulhumale),3.7,Store,Store ·  · Bokaru Maa Hingun,999-3807,N/A,N/A,2026-03-18 02:15:30
MU Express,4.0,Grocery store,"Grocery store · 6G7R+J68, Reethigas Magu",733-4747,N/A,N/A,2026-03-18 02:15:30
Rhombus Maldives Pvt Ltd,4.3,Men's clothing store,"Men's clothing store ·  · Beyrumathi Ground Floor, 174 Chaandhanee Magu",300-7700,N/A,N/A,2026-03-18 02:14:50
STAR SHOPPING 1,4.0,Shopping mall,N/A,300-2640,N/A,N/A,2026-03-18 02:14:50
SJ Mall,4.1,Shopping mall,Shopping mall ·  · Boagan Villa Magu,794-0011,N/A,N/A,2026-03-18 02:14:50
Maldives Online Shop,2.5,Shopping mall,N/A,744-4999,N/A,N/A,2026-03-18 02:14:50
Island Bazaar,4.5,Boutique,Boutique · M.Sisil Emporium Fareedhee Magu M. Male,791-0013,N/A,N/A,2026-03-18 02:14:50
Luxury Shopping Centre,4.4,Store,"Store ·  · 5GG4+5P9, Majeedhee Magu Rd",332-2029,N/A,N/A,2026-03-18 02:14:50
Naga's Indian Restaurant,4.7,Indian restaurant,Indian restaurant · 10821 Unigas Magu,N/A,N/A,N/A,2026-03-18 02:12:39
Salt Café & Restaurant,4.4,Restaurant,"Restaurant · 5GH5+XWQ 6th & 7th Floor, Mohamed Ismail Didi Goalhi",N/A,N/A,N/A,2026-03-18 02:12:39
The Black Pearl - Relaxed Dining & Coffee,4.7,Restaurant,"Restaurant · G.Vaal, Alikilegefaanu Magu",N/A,N/A,N/A,2026-03-18 02:12:39
The Cloud Restaurant,4.6,Restaurant,"Restaurant · 5GG9+82J Samann Grand, Roashanee Magu",N/A,N/A,N/A,2026-03-18 02:12:39
Khanji Maldives,4.6,Restaurant,Restaurant · 11039 Nirolhu Magu - 19 Goalhi,N/A,N/A,N/A,2026-03-18 02:12:39
Cafe'ier,4.5,Restaurant,N/A,N/A,N/A,N/A,2026-03-18 02:10:57
Cafe de Male,4.5,Restaurant,N/A,N/A,N/A,N/A,2026-03-18 02:10:57
Moon Cafe',4.3,Cafe,"Cafe ·  · 5GF6+8W4, Banafsaa Magu",N/A,N/A,N/A,2026-03-18 02:10:57
lemon tree café,4.6,Restaurant,Restaurant · Rabarugas Magu - Goalhi 8,N/A,N/A,N/A,2026-03-18 02:10:57
Café Ier Hulhumalé,4.2,Cafe,Cafe · Beach Rd,N/A,N/A,N/A,2026-03-18 02:10:57
Lucie's Cafe' and Bistro,4.7,Coffee shop,"Coffee shop · MA. Shezi, Dhilbahaaru Magu",N/A,N/A,N/A,2026-03-18 02:10:57
The Usual Coffee House,4.8,Coffee shop,"Coffee shop · H. Silver Oak, Abadhah Ufaa Magu",N/A,N/A,N/A,2026-03-18 02:10:57
Meraki Coffee Roasters,4.7,Coffee roastery,"Coffee roastery ·  · G. Blue Stream, Husnuheena Magu, Male'",N/A,N/A,N/A,2026-03-18 02:10:57
Victorious Cafe,4.9,Cafe,Cafe · Maaveyo Magu,N/A,N/A,N/A,2026-03-18 02:10:57
Sunrise Coffee,4.9,Coffee shop,"Coffee shop · 6G6V+6FM, Beach Rd",N/A,N/A,N/A,2026-03-18 02:10:57
The Coffee Shrub,4.6,Coffee shop,"Coffee shop · Male’ Grand, Mezzanine Floor, Majeedhee Magu Rd",N/A,N/A,N/A,2026-03-18 02:10:57
Seagull Café,4.4,Restaurant,Restaurant ·  · 29 Chaandhanee Magu,N/A,N/A,N/A,2026-03-18 02:10:57
